Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa Eastern and Southern,44.08555185,44.38669693,44.75218187,44.9131593,45.47904304,45.49833779,45.24910463,45.924905,46.22309657,46.43230309,46.71848452,47.19294226,46.89738925,47.69231743,47.59806375,47.75988691,48.34958805,48.63590519,48.7636046,49.26133574,49.63653766,50.05707329,50.29684914,48.70333059,48.65266456,49.01163072,49.63971901,50.07588754,49.35972653,50.68409979,50.60772753,50.39045961,49.96211365,50.27362797,50.88258182,51.00192529,50.81068897,50.97423136,50.32591274,51.23785191,51.96448132,52.18964821,52.540794,53.02203459,53.54545711,54.21965081,55.15054611,55.93380171,56.6804189,57.62085154,58.41114975,59.29327139,60.05078025,60.70986956,61.33791748,61.85645814,62.4440502,62.92238962,63.36586261,63.75567792,63.31386033,62.45458965
Central Europe and the Baltics,67.93395196,68.23593223,67.69016198,68.67400263,69.17022699,69.32345959,69.82345537,69.32427448,69.55510956,69.05473926,69.33041521,69.50148114,69.96063416,70.10027745,70.35208632,70.17597267,70.32058987,70.24597306,70.14466576,70.24776109,69.88898462,70.37205018,70.45547332,70.38978517,70.34911486,70.31288347,70.56513604,70.61176333,70.86170823,70.73197226,70.65633134,70.5752213,70.73283713,70.84598662,70.86954394,71.02542143,71.33605802,71.51725807,71.89823768,72.18456107,72.71972472,73.09614819,73.24241549,73.38225278,73.73043493,73.84499514,74.09260273,74.25064872,74.57595268,74.93036393,75.29396578,75.88847488,75.9934886,76.35516299,76.67562361,76.57187776,76.96981142,76.94744264,76.97682268,77.26684467,76.08771684,74.93211932
East Asia & Pacific,41.63825658,46.57701997,53.28661058,53.81642115,54.50712281,54.4690552,55.54401277,56.37008105,56.78502332,57.42357849,58.03641152,58.86065896,59.41109968,60.25754949,60.85864545,61.58069586,62.34908046,63.05711237,63.64442224,64.23031959,64.71696596,65.19934386,65.66700776,66.04537458,66.43754732,66.80392149,67.1519209,67.49696339,67.74233531,68.06318,68.27020976,68.49228649,68.95878499,69.40114139,69.66914456,69.92266447,70.20833162,70.58374002,70.97042538,71.16581941,71.55256983,72.11295093,72.45015963,72.8645142,72.96325614,73.43939969,73.79188734,74.03488397,74.00482415,74.53250904,74.73436579,74.97135414,75.22981361,75.47911626,75.73130511,75.94881673,76.13792375,76.21239638,76.59417271,76.79777484,76.76194199,76.39391116
United States,69.77073171,70.27073171,70.1195122,69.91707317,70.16585366,70.21463415,70.21219512,70.56097561,69.95121951,70.50731707,70.80731707,71.10731707,71.15609756,71.35609756,71.95609756,72.60487805,72.85609756,73.25609756,73.35609756,73.80487805,73.6097561,74.0097561,74.36097561,74.46341463,74.56341463,74.56341463,74.61463415,74.76585366,74.76585366,75.01707317,75.21463415,75.36585366,75.61707317,75.4195122,75.6195122,75.62195122,76.02682927,76.42926829,76.5804878,76.58292683,76.63658537,76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829
World,50.89417969,52.84633643,55.20868386,55.54234061,56.03487534,55.86063331,56.38974347,56.79478414,57.22542114,57.5355516,57.84094631,57.96723793,58.79292431,59.29465121,59.71363348,60.16610027,60.62581046,61.12086665,61.48145494,61.9027523,62.23355552,62.61128333,62.97221434,63.21564058,63.52012413,63.81228938,64.20823171,64.5127565,64.68486253,65.02281527,65.18840651,65.33519025,65.59637517,65.78025124,66.02523417,66.21565793,66.48003428,66.82174035,67.0967795,67.38719522,67.7004017,68.0522403,68.33322196,68.60683639,68.86230529,69.19874131,69.57122906,69.8353161,70.00627637,70.40161799,70.67123434,71.00826967,71.28444007,71.57750561,71.8814711,72.09521828,72.3453516,72.54277589,72.78408956,72.97971594,72.24382211,71.32739068
