Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
East Asia & Pacific,3.776354902,5.491883172,7.805144099,10.55687019,6.993065567,8.677275027,7.698322893,9.541184778,11.50286813,5.388789643,5.316407411,7.214812552,7.661153386,0.877383743,3.706161847,4.257017261,5.423286559,5.797621575,5.915307281,3.787067496,4.674081155,4.153196423,4.427562693,6.160541053,5.701139697,4.923874823,6.255679286,7.601235009,5.151642011,5.070271025,4.852766097,4.236505782,4.201279065,5.237603927,5.669211277,5.62008265,4.055149651,0.448469523,3.732880337,5.390822381,3.302723684,4.378792516,4.948878154,5.868078032,5.900077667,6.453843703,7.468614906,4.386753402,2.559953874,7.609693151,5.465582296,5.18015001,5.242633002,4.758307435,4.715117979,4.670281015,5.052037227,4.75995563,3.961600412,-0.118957465,6.102739833,2.846120339
United States,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,-0.283491263,3.293351639,5.258907357,5.645722556,-0.540551652,-0.205456065,5.388139287,4.624153065,5.535304958,3.166145308,-0.256749674,2.537719307,-1.802887409,4.583913355,7.23663315,4.169656223,3.462645971,3.45925199,4.177061291,3.67264815,1.885964957,-0.108264791,3.522440527,2.751781051,4.02879326,2.684217272,3.772565499,4.447174945,4.481394432,4.794499045,4.077159479,0.954338729,1.695942923,2.796209101,3.852552601,3.48322032,2.782810626,2.010507552,0.122188443,-2.599888351,2.708856694,1.54989495,2.280687603,1.841875395,2.287775933,2.706369582,1.667472076,2.241921216,2.945384831,2.294439078,-2.767802511,5.945484761,2.061593119
World,3.790081012,5.314851377,5.184482633,6.557806,5.549061304,5.712569217,4.152779392,5.941863237,5.815589521,3.960368961,4.276652935,5.616037059,6.406895188,1.796999251,0.63545723,5.304310095,4.099971291,4.136665984,4.176109217,1.868604054,1.952000364,0.303378671,2.624594108,4.709695546,3.720726789,3.395278141,3.74768179,4.6333815,3.706370231,2.799126359,1.369833645,2.040403225,1.84828317,3.334760502,3.081403487,3.547915175,3.894428122,2.820175969,3.553027683,4.515536335,2.009775225,2.304819223,3.111293387,4.47156107,4.004888203,4.421716902,4.381495564,2.070264933,-1.341646209,4.540332948,3.32009326,2.71019097,2.809245978,3.073531301,3.08293693,2.808630961,3.389865405,3.288049781,2.594550083,-3.072225493,6.023812764,3.080321778
