Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,21125015452,21616228139,23506279900,28048360188,25920665260,29472103270,32014368121,33269509510,36327785495,41638967621,44629891649,49173371529,53123459912,69482723444,85380645042,90835426418,90212747243,1.02E+11,1.16E+11,1.34E+11,1.71E+11,1.76E+11,1.68E+11,1.76E+11,1.61E+11,1.37E+11,1.53E+11,1.87E+11,2.05E+11,2.18E+11,2.54E+11,2.77E+11,2.46E+11,2.43E+11,2.40E+11,2.70E+11,2.69E+11,2.83E+11,2.67E+11,2.63E+11,2.85E+11,2.60E+11,2.67E+11,3.54E+11,4.40E+11,5.14E+11,5.78E+11,6.63E+11,7.11E+11,7.22E+11,8.64E+11,9.68E+11,9.75E+11,9.86E+11,1.01E+12,9.27E+11,8.85E+11,1.02E+12,1.01E+12,1.00E+12,9.28E+11,1.08E+12,1.17E+12
United States,5.43E+11,5.63E+11,6.05E+11,6.39E+11,6.86E+11,7.44E+11,8.15E+11,8.62E+11,9.43E+11,1.02E+12,1.07E+12,1.16E+12,1.28E+12,1.43E+12,1.55E+12,1.68E+12,1.87E+12,2.08E+12,2.35E+12,2.63E+12,2.86E+12,3.21E+12,3.34E+12,3.63E+12,4.04E+12,4.34E+12,4.58E+12,4.86E+12,5.24E+12,5.64E+12,5.96E+12,6.16E+12,6.52E+12,6.86E+12,7.29E+12,7.64E+12,8.07E+12,8.58E+12,9.06E+12,9.63E+12,1.03E+13,1.06E+13,1.09E+13,1.15E+13,1.22E+13,1.30E+13,1.38E+13,1.45E+13,1.48E+13,1.45E+13,1.50E+13,1.56E+13,1.63E+13,1.68E+13,1.76E+13,1.82E+13,1.87E+13,1.95E+13,2.05E+13,2.14E+13,2.11E+13,2.33E+13,2.55E+13
